1及2齒輪對計算
計算項目,符號,單位,計算數值
1齒輪轉速,n,rpm,1800.000
2齒輪轉速,n,rpm,391.304
1齒輪扭矩,T,Nmm,79.577
2齒輪扭矩,T,Nmm,366.056
1及2齒輪對中心距,a,mm,15.250
1及2齒輪對軸向嚙合率,eps_a,N/A,1.346
1及2齒輪對總嚙合率,eps_g,N/A,2.109
1齒輪接觸應力安全係數,SHBD,N/A,2.560
2齒輪接觸應力安全係數,SHBD,N/A,1.492
1齒輪彎曲應力安全係數,SF,N/A,4.029
2齒輪彎曲應力安全係數,SF,N/A,0.347
1及2齒輪對正向力,Fn,N,33.354
1及2齒輪對軸向力,Fa,N,11.334
1及2齒輪對徑向力,Fr,N,11.408
3及4齒輪對計算
計算項目,符號,單位,計算數值
3齒輪轉速,n,rpm,391.304
4齒輪轉速,n,rpm,492.286
3齒輪扭矩,T,Nmm,366.056
4齒輪扭矩,T,Nmm,290.968
3及4齒輪對中心距,a,mm,21.231
3及4齒輪對軸向嚙合率,eps_a,N/A,1.587
3及4齒輪對總嚙合率,eps_g,N/A,1.587
3齒輪接觸應力安全係數,SHBD,N/A,3.476
4齒輪接觸應力安全係數,SHBD,N/A,1.388
3齒輪彎曲應力安全係數,SF,N/A,0.735
4齒輪彎曲應力安全係數,SF,N/A,0.507
3及4齒輪對正向力,Fn,N,32.933
3及4齒輪對軸向力,Fa,N,N/A
3及4齒輪對徑向力,Fr,N,11.264
